id,term_in_arabic,new_term_in_arabic,term_in_arabic_normalized,definition_in_english,part_of_speech,is_from_french,is_vulgar,french,example_sentence_in_arabic,example_sentence_in_arabic_normalized,example_sentence_in_english
1369,جَنْڨِلْ,,جنڨل,to juggle,V,False,False,,ياسين يجَنْڨِلْ بالكورة,ياسين يجنڨل بالكورة,Yassine is juggling the ball.
1370,جَنُوبْ,,جنوب,south,N,False,False,,برج الخضراء هي آخر نقطة في الجنوب التونسي,برج الخضراء هي آخر نقطة في الجنوب التونسي,Borj Al Khadhra is the southernmost place in Tunisia.
1371,جَنُوبْ افْرِيقْيَا,,جنوب افريقيا,South Africa,N,False,False,,أَصْلُو مِنْ جَنُوبْ افْرِيقْيَا,أصلو من جنوب افريقيا,His family is originally from South Africa.
1372,جَنُوبْ الشَّرْقِي,,جنوب الشرقي,Southeast,N,False,False,,الإِتّجَاهْ هَذَا هُوَ الجَنُوبْ الشَّرْقِي,الإتجاه هذا هو الجنوب الشرقي,This direction is southeast.
1373,جَنُوبْ الغَرْبِي,,جنوب الغربي,Southwest,N,False,False,,الإِتّجَاهْ هَذَا هُوَ الجَنُوبْ الغَرْبِي,الإتجاه هذا هو الجنوب الغربي,This direction is southwest.
1374,جَنُوبِي,,جنوبي,southern,PREP,False,False,,أَنَا جَنُوبِي، مِنْ طَاطَاوِينْ,أنا جنوبي ، من طاطاوين,"I'm a southerner, from Tataouine."
1375,جُنُودْ الإحْتِلَالْ,,جنود الإحتلال,"the occupation army, colonist army",N,False,False,,جنود الإحتلال فكو الأراضي متاع السكان و أجبروهم باش يخرجو,جنود الإحتلال فكو الأراضي متاع السكان و أجبروهم باش يخرجو,The occupation army took the people's land and forced them to leave.
1376,جُنُونْ,,جنون,"craziness, madness",N,False,False,,أصابو الجنون ياخي هزوه لصبيطار المهبلة,أصابو الجنون ياخي هزوه لصبيطار المهبلة,"He went mad, so they took him to the psychiatric hospital."
1377,جُنُونْ البَقَرْ,,جنون البقر,mad cow disease,N,False,False,,جنون البقر هو مرض تفشى في التسعينات,جنون البقر هو مرض تفشى في التسعينات,Mad Cow Disease was a disease that was spreading in the 90's.
1380,جْنَى الزّيتُونْ,,جنى الزيتون,to reap olives,V,False,False,,الفلاح جنى الزيتون باش يبيعو للمعصرة,الفلاح جنى الزيتون باش يبيعو للمعصرة,The farmer harvested his olives in order to sell them to the mill.
1381,جْنَى إلِي عَمْلِتُو يْدِيهْ,,جنى إلي عملتو يديه,he got what he deserved,V,False,False,,ما دخلش عام كامل يقرى ياخي دوبل يتسمى جنى إلي عملتو يديه,ما دخلش عام كامل يقرى ياخي دوبل يتسمى جنى إلي عملتو يديه,He failed the school year because he didn't do his studies at all; he got what he deserved.
1382,جْنَى علِيهْ,,جنى عليه,"it happened because of him, it's all his fault",V,False,False,,جنى عليه طيحو في المخدرات هلكلو مستقبلو,جنى عليه طيحو في المخدرات هلكلو مستقبلو,Getting into drugs resulted in his future being destroyed.
1383,جَنِينْ,,جنين,"fetus, baby in womb",N,False,False,,مرتي حبلة و اليوع عندنا روندافو مع الطبيب باش نشوفو الجنين,مرتي حبلة و اليوع عندنا روندافو مع الطبيب باش نشوفو الجنين,My wife is pregnant; today we have an appointment with the doctor to see the baby.
1384,جْنِينَة,,جنينة,garden,N,False,False,,تعجبني القعدة في الجنينة تحت اليسمينة,تعجبني القعدة في الجنينة تحت اليسمينة,I like to sit in the garden under the jasmine tree.
1385,جِهَازْ,,جهاز,"device, walkie talkie",N,False,False,,البوليس بلّغ عالجهاز وجود تلاثة عباد مشتبه بيهم متخبين,البوليس بلغ عالجهاز وجود تلاثة عباد مشتبه بيهم متخبين,The policeman stated on the walkie talkie that there were three people suspected to be hiding.
1386,جِهَازْ التَّنَفُّسِي,,جهاز التنفسي,respiratory system,N,False,False,,التدخين يهلك الجهاز التنفسي,التدخين يهلك الجهاز التنفسي,Smoking destroys the respiratory system.
1387,جْهامة,,جهامة,someone or something really big,N,False,False,,عندي صاحبي جهامة يوزن ميات كيلو و طولو زوز ميترو,عندي صاحبي جهامة يوزن ميات كيلو و طولو زوز ميترو,I have a friend who's really big; he weighs a hundred kilograms and he's two meters tall.
1389,جِهَانْ,,جهان,Jihane (woman's name),N,False,False,,إِسْمِي جِهَانْ,إسمي جهان,My name's Jihane.
1390,جِهَاوِيَّاتْ,,جهاويات,"regional offices, branches, regionalism",N,False,False,,الجهاويات تظر العلاقات العامة في البلاد,الجهاويات تظر العلاقات العامة في البلاد,Regionalism damages general relations in the country.
1391,جِهَة,,جهة,"a region, side, area",N,False,False,,غدوة باش تصب المطر في جهة الشمال الغربي,غدوة باش تصب المطر في جهة الشمال الغربي,It will rain in the northwest tomorrow.
1392,جِهَة مُعَادْيَة,,جهة معادية,"enemy area, side",N,False,False,,تسريب معلومات لجهة معادية ينجم يؤدي للحكم بالإعدام,تسريب معلومات لجهة معادية ينجم يؤدي للحكم بالإعدام,Leaking information to the enemy's side can lead to capital punishment.
1393,جْهَرْ,,جهر,"to shine strongly, brightly",V,False,False,,ضو الشمس جهرو في عينيه,ضو الشمس جهرو في عينيه,The sun shone brightly in his eyes.
1393,جْهَرْ,,جهر,"to speak loudly, openly",V,False,False,,جهر بالسر لي قالوهولو,جهر بالسر لي قالوهولو,He spoke the secret that they told him loudly.
1394,جَهِّزْ الدَّارْ,,جهز الدار,to furnish a house,V,False,False,,جهّز الدار شرا تلفزة و فريجيدار قبل ما يعرّس,جهز الدار شرا تلفزة و فريجيدار قبل ما يعرس,Before he got married he bought a television and refrigerator for the house.
1395,جهنّم,جْهَنِمْ,جهنم,Hell,N,False,False,,جهنّم بلاصة فيها برشا عذاب,جهنم بلاصة فيها برشا عذاب,Hell is a place of great agony.
1397,جهنّمي,جَهَنَّمِي,جهنمي,"hellish, awful, terrible",ADJ,False,False,,"السلاح إلي طوروه جهنمي,يقتل برشا عباد في وقت قصير","السلاح إلي طوروه جهنمي,يقتل برشا عباد في وقت قصير",The weapons they've developed are awful; they killl lots of people in a short time.
1399,جهويّ,جِهَويّ,جهوي,regional,ADJ,False,False,,عملو بحث جهوي في مدينة نابل باش يشوفو قداه عدد السكان بالضبط,عملو بحث جهوي في مدينة نابل باش يشوفو قداه عدد السكان بالضبط,They conducted a local census in Nabeul to find the exact number of residents in the city of Nabeul.
1401,جَوّْ,,جو,"fun, good time",N,False,False,,الجو تبدّل وقتلي دخل الفنان,الجو تبدل وقتلي دخل الفنان,People really started having a good time when the singer showed up.
1401,جَوّْ,,جو,"atmosphere, air, weather",N,False,False,,الجو مغيم اليوم,الجو مغيم اليوم,The weather is cloudy today.
1402,جَوّْ العِيدْ,,جو العيد,the ambiance of the Eid,N,False,False,,جو العيد مع العائلة ديما وحدو,جو العيد مع العائلة ديما وحدو,Nothing compares to the good times we have with family during Eid.
1403,جُو دُو سْتْرَاتِيجِي,جُو دُو سْتْرَاتِيجِي,جو دو ستراتيجي,strategic game,N,True,False,Judo stratégie,تغرمت بالجو دو ستراتيجي ملي كان عمري عشرة سنين,تغرمت بالجو دو ستراتيجي ملي كان عمري عشرة سنين,I've been interested in strategy games since I was ten years old.
1404,جَوّْ مْكَهْرِبْ,,جو مكهرب,things are tense,ADJ,False,False,,الجو مكهرب في الدار خاتر بابا متعارك مع أمي,الجو مكهرب في الدار خاتر بابا متعارك مع أمي,Things are tense at home because my parents are fighting.
1405,جَوّ سْخُونْ,,جو سخون,"things are hot, tense, difficult",ADJ,False,False,,"الجو سخون في البلاطو متاع التلفزة,المذيع تعارك مع الضيف على مسألة معينة","الجو سخون في البلاطو متاع التلفزة,المذيع تعارك مع الضيف على مسألة معينة",It's tense on the TV studio; the host fought with the guest about a certain matter.
1406,جْوَابْ,,جواب,letter,N,False,False,,بعثت جواب لطفلة نحبها,بعثت جواب لطفلة نحبها,I sent a letter to a girl I love.
1407,جْوَابْ مَضْمُونْ الوُصُولْ,,جواب مضمون الوصول,registered letter,N,False,False,,الفاتورة متاع الماء و الضو ديما تجي في جواب مضمون الوصول,الفاتورة متاع الماء و الضو ديما تجي في جواب مضمون الوصول,The water and electric bills always come as registered mail.
1408,جَوَابْ مُفَصَّلْ,,جواب مفصل,Detailed Answer,N,False,False,,بعث إيمايل لشركة باش نخدم ياخي بعثولي جواب مفصّل على شنوا حاجتهم بيه,بعث إيمايل لشركة باش نخدم ياخي بعثولي جواب مفصل على شنوا حاجتهم بيه,"Looking for a job, I emailed a company.  Their response detailed the skills and qualifications they are looking for."
1409,جْوَاجِي,,جواجي,"something inside, internal",N,False,False,,بعد ما ذبح العلوش حلو كرشو باش يجبدلو الجواجي متاعو,بعد ما ذبح العلوش حلو كرشو باش يجبدلو الجواجي متاعو,"After he slaughtered the sheep, he opened its belly to remove the organs."
1410,جْوَادْ,,جواد,to become thin,ADJ,False,False,,قعدت نبري في قلم الرصاص حتى لين جواد,قعدت نبري في قلم الرصاص حتى لين جواد,I started shaving the pencil until it became thin.
1411,جِوَارْ,,جوار,next to,PREP,False,False,,يسكن في جوار السوق,يسكن في جوار السوق,He lives next to the market area.
1412,جَوَارَحْ,,جوارح,"emotions, feelings",N,False,False,,عطيت الماكلة لقطوس في الشارح حسيتو فرحان من جوارحو,عطيت الماكلة لقطوس في الشارح حسيتو فرحان من جوارحو,I gave the cat food on the street; I felt like he was happy inside.
1412,جَوَارَحْ,,جوارح,raptors,N,False,False,,النِسْرْ هو مِنَ الجَوَارَحْ,النسر هو من الجوارح,Eagles are from the raptor family.
1414,جَوَارِي,,جواري,concubines,N,False,False,,في القرون الوسطى الملوك كانو عندهم جواري,في القرون الوسطى الملوك كانو عندهم جواري,During the Middle Ages kings had concubines.
1415,جَوَازْ,,جواز,"passport, permit",N,False,False,,وقفني عون دوانة في المطار قالي استظهر بالجواز متاعك,وقفني عون دوانة في المطار قالي استظهر بالجواز متاعك,A customs official stopped me at the airport and told me to show my passport.
1416,جْوَانْ,,جوان,June,N,False,False,,في جوان تبدى السخانة متاع الطقس تفوت تلاثين درجة,في جوان تبدى السخانة متاع الطقس تفوت تلاثين درجة,"In June, the heat passes thirty degrees."
1417,جَوَاهِرْ,,جواهر,jewerly,N,False,False,,الاميرة ديما تبدى لابسة جواهر في القصص و الأفلام,الاميرة ديما تبدى لابسة جواهر في القصص و الأفلام,The princess is always wearing jewelry in stories and movies.
1418,جُوتُونْ,جُوتُونْ,جوتون,"token, chit",N,True,False,Pris,في الوتيل عطاوني جوتون باش ناكل بيه و نشرب بيه,في الوتيل عطاوني جوتون باش ناكل بيه و نشرب بيه,At the hotel they gave me a token so I could get food and drinks.
1420,جُوجْمَة,,جوجمة,"lots of annoying noise, chaos",N,False,False,,"دخلت لقهوة بكلها جوجمة الناس الكل تعيّط,خاتر نهارتها فما ماتش كورة","دخلت لقهوة بكلها جوجمة الناس الكل تعيط,خاتر نهارتها فما ماتش كورة",I went into a café and it was really loud; everyone was yelling because there was a soccer game on TV.
1422,جُوجْمُونْ,جُوجْمُونْ,جوجمون,judgement,N,True,False,Jour de jugement dernier,نهار الجوجمون آش باش يقول العبد لربو,نهار الجوجمون آش باش يقول العبد لربو,What will man say to God on the Day of Judgement?
1423,جَوْدَة,,جودة,quality,N,False,False,,السوم متاع السلعة دليل عالجودة متاحا,السوم متاع السلعة دليل عالجودة متاحا,An item's price is an indication of its quality.
1424,جُورْ فَارْيِي,جُورْ فَارْيِي,جور فاريي,"day off, holiday",N,True,False,Jour,نهار لحد الجاي هو جور اريس خاتر عيد الشجرة,نهار لحد الجاي هو جور اريس خاتر عيد الشجرة,Next Sunday is a holiday because it's Arbor Day.
1425,جُورَا,,جورا,of or relating to neighbors,N,False,False,,تجمعني بيه جورا و محبة كبيرة,تجمعني بيه جورا و محبة كبيرة,I'm connected to him with neighborliness and considerable affection.
1426,جُورْجْ,جُورْجْ,جورج,George,N,True,False,George,جورج بوش كان رئيس أمريكا,جورج بوش كان رئيس أمريكا,George Bush was a U.S. president.
1427,جُورْجْيَا,جُورْجْيَا,جورجيا,Georgia,N,True,False,Georgia,نحب نسافر لجورجيا,نحب نسافر لجورجيا,I want to travel to Georgia.
1428,جُورْنَالِيسْتْ,جُورْنَالِيسْتْ,جورناليست,journalist,N,True,False,Journaliste,الجورناليست خدمتو أنو يلوج عالمعلومة و يعطيها للشعب بمصداقيّة,الجورناليست خدمتو أنو يلوج عالمعلومة و يعطيها للشعب بمصداقية,A journalist's job is to search for information and accurately report it to the people.
1429,جَوْزَاءْ,,جوزاء,Gemini,N,False,False,,برج الجوزاء هو واحد مالأبراج,برج الجوزاء هو واحد مالأبراج,Gemini is one of the zodiac signs.
1430,جَوْزَة,,جوزة,Walnut,N,False,False,,شفت سنجاب طالع في شجرة يتشعبط هاز في فمو جوزة,شفت سنجاب طالع في شجرة يتشعبط هاز في فمو جوزة,I saw a squirrel that was up in a tree carrying a walnut in its mouth.
1431,جُوسْتُومُونْ,جُوسْتُومُونْ,جوستومون,"exactly, that's right, that's what I mean",ADV,True,False,Justement,حسيت إلي صاحبي في خطر ياخي جوستومون كيف كلمتو نلقاه في السبيطار,حسيت إلي صاحبي في خطر ياخي جوستومون كيف كلمتو نلقاه في السبيطار,I felt like my friend was in trouble and I was right.  When I called him I found out he was in the hospital.
1432,جَوْسَسَة,,جوسسة,"Espionage-related matters, spying",N,False,False,,كل بلاد في العالم تستعمل الجوسسة باش تاخو معلومات على جيرانها,كل بلاد في العالم تستعمل الجوسسة باش تاخو معلومات على جيرانها,Every country in the world uses espionage to get information about their neighbors.
1433,جَوَّعْ,,جوع,to cause someone to starve,V,False,False,,النظام الدكتاتوري جوّع الشعب متاعو باش يضعفهم,النظام الدكتاتوري جوع الشعب متاعو باش يضعفهم,The dictatorial regime withheld food from its people to make them weak.
1434,جُوعْ,,جوع,"starvation, hunger",N,False,False,,نسبة الجوع في افريقيا عالية برشا لعباد تموت بالشر,نسبة الجوع في افريقيا عالية برشا لعباد تموت بالشر,The rate of starvation in Africa I very high; people die of hunger.
1435,جُوفُو تِجْرِي,,جوفو تجري,he has diarrhea,PHR,False,False,,كلى كسكروت حار ياخي جوفو ولا تجري,كلى كسكروت حار ياخي جوفو ولا تجري,He ate a spicy sandwich and got diarrhea.
1436,جَوْقَة مُوسِيقِيَّة,,جوقة موسيقية,Musical choir,N,False,False,,ساعات نمشي لمعهد الفنون باش نتفرج في الجوقة الموسيقيّة لي غادي,ساعات نمشي لمعهد الفنون باش نتفرج في الجوقة الموسيقية لي غادي,I sometimes go to the art institute to watch the musical choir there.
1437,جُوكْ,,جوك,joker (playing cards or a person),N,False,False,,جبد ورقة جوك ياخي رجع للطرح,جبد ورقة جوك ياخي رجع للطرح,He pulled out a joker and got back into the game.
1438,جُوكَاَرْ,,جوكار,joker (playing cards or a person),N,False,False,,الجوكار هي ورقة في الكارطة تنجم تعوض أي ورقة اخرى,الجوكار هي ورقة في الكارطة تنجم تعوض أي ورقة اخرى,The joker is a card that can be played as any other card in the deck.
1439,جُوكِينْڨْ,جُوكِينْڨْ,جوكينڨ,leggings,N,True,False,Vêtements de sport,نهار لحد ما نلبس كان جوكينق,نهار لحد ما نلبس كان جوكينق,On Sunday I just wear leggings.
1439,جُوكِينْڨْ,جُوكِينْڨْ,جوكينڨ,"a jog, run",N,True,False,Vêtements de sport,كنت نعمل في جوكينق على شط البحر,كنت نعمل في جوكينق على شط البحر,I was going for a run on the beach.
1440,جَوْلَة,,جولة,"a tour, round",N,False,False,,نحب نمشي نعمل جولة حول العالم,نحب نمشي نعمل جولة حول العالم,I want to take a tour around the world.
1441,جُولِي,جُولِي,جولي,beautiful,ADJ,True,False,Jolie,عرضتني طفلة ياسر جولي,عرضتني طفلة ياسر جولي,A very beautiful girl approached me.
1442,جْوِينِي,,جويني,Jouini (last name),N,False,False,,أُمّي لَقَبْهَا الجْوِينِي,أمي لقبها الجويني,My mother's maiden name is Jouini.
1443,جِيرْ,,جير,"plaster, whitewash",N,False,False,,الجير يعوضو بيه الدهن,الجير يعوضو بيه الدهن,Instead of whitewash they used regular paint.
1445,جَيّرْ السْطَحْ,,جير السطح,to whitewash/plaster the roof,V,False,False,,فصل الشتاء قرب لازم السطح يتجيّر باش السقف ما يوليش يقطر,فصل الشتاء قرب لازم السطح يتجير باش السقف ما يوليش يقطر,As winter approaches you should plaster the roof so it doesn't leak.
1446,دُهْنْ,,دهن,paint,N,False,False,,باب دارنا مدهون بالدهن لزرق,باب دارنا مدهون بالدهن لزرق,Our gate is painted blue.
1449,جِيسْتْكُورْ,جِيسْتْكُورْ,جيستكور,tight trousers for girls,N,True,False,Collants,الأستاذة متاع السبور قالتلنا البسو جيستكور,الأستاذة متاع السبور قالتلنا البسو جيستكور,Our P.E. coach told us to wear tights.
1450,جَيِّشْ,,جيش,"to cause, mobilize",V,False,False,,فمّا عصابات تجيّش في أولاد الشعب باش يسكرو,فما عصابات تجيش في أولاد الشعب باش يسكرو,There are gangs that get young people to drink.
1451,جَيْشْ,,جيش,Army,N,False,False,,الجيش هو إلي يحمي الوطن,الجيش هو إلي يحمي الوطن,It's the military that protects the nation.
1453,جَيْشْ البَحْرْ,,جيش البحر,"marines, navy",N,False,False,,جيش البحر قام بمناورات في مناء بنزت اليوم,جيش البحر قام بمناورات في مناء بنزت اليوم,The navy held exercises in Bizerte today.
1454,جَيْشْ البَرّْ,,جيش البر,(ground) army,N,False,False,,جيش البر اجتاح البلايص إلي متخبين فيها الإرهابيين,جيش البر اجتاح البلايص إلي متخبين فيها الإرهابيين,The army took over the areas where terrorists were hiding.
1455,جَيْشْ الحُلَفَاءْ,,جيش الحلفاء,allied army,N,False,False,,جيش الحلفاء شن هجمة عالعدو,جيش الحلفاء شن هجمة عالعدو,The allied army made an attack on the enemy.
1456,جَيْشْ الطيَرَانْ,,جيش الطيران,air force,N,False,False,,جيش الطيران قصف مناطق أهليّة,جيش الطيران قصف مناطق أهلية,The air force raided civilian areas.
1457,جَيْشْ العَدُو,,جيش العدو,enemy army,N,False,False,,جيش العدو حاصر المدينة,جيش العدو حاصر المدينة,The enemy forces surrounded the city.
1458,جِيعَانْ,,جيعان,hungry,ADJ,False,False,,قلت لأمي جيعان ياخي عملتلي كسكروت,قلت لأمي جيعان ياخي عملتلي كسكروت,"I told my mom I was hungry, so she made me a sandwich."
1458,جِيعَانْ,,جيعان,"greedy, longing for something",ADJ,False,False,,الراجل هاكا غني أما جيعان ما يعاونش الفقراء و حاجتو ما يعطيهاش,الراجل هاكا غني أما جيعان ما يعاونش الفقراء و حاجتو ما يعطيهاش,That man is rich but greedy; he doesn't give to poor people what they need.
1459,جَيِّفْ سِيقَارُو,جَيِّفْ سِيقَارُو,جيف سيقارو,to put out a cigarette (to finish later),V,True,False,cigarette,جا طالع في المترو ياخي جيّف سيقارو باش يتكيفو مباعد,جا طالع في المترو ياخي جيف سيقارو باش يتكيفو مباعد,"His metro came, so he put out his cigarette to finish it later."
1460,جِيفَة,,جيفة,a cadaver,ADJ,False,False,,شمينا راحت جيفة ياخي لقينة قطوس ميّت في الجنينة,شمينا راحت جيفة ياخي لقينة قطوس ميت في الجنينة,We could smell that there was something dead nearby; we found a dead cat in the yard.
1461,جِيڨُو,جِيڨُو,جيڨو,leg of an animal (from butcher),N,True,False,Boîte à souder,مشيت للجزار باش نشري جيقو لحم بقري,مشيت للجزار باش نشري جيقو لحم بقري,I went to the butcher to buy a leg of beef.
1462,جِيلْ,,جيل,generation,N,False,False,,الجنيراسيون هذي تعرف تعيش حياتها,الجنيراسيون هذي تعرف تعيش حياتها,This generation knows how to live its life.
1463,جِيلَا,جِيلَا,جيلا,"vest, coat",N,True,False,Gullet,جيت خارج مالدار قالي بابا البس جيلا خاتر الدنيا باش تبرد,جيت خارج مالدار قالي بابا البس جيلا خاتر الدنيا باش تبرد,When I was leaving the house my father told me to wear a coat because it's going to get cold.
1464,جِيلِيَّة,,جيلية,a vest,N,False,False,,الدنيا بردت جاب ربي لابس جيليّا,الدنيا بردت جاب ربي لابس جيليا,It's grown cold out; thank God I'm wearing a vest.
1465,جِيمْنًاسْ,جِيمْنًاسْ,جيمناس,gymnastics,N,True,False,Gymnastics,البروف عطاتني20على20في الجيمناس,البروف عطاتني20على20في الجيمناس,The professor gave me a 20 out of 20 in gymnastics.
1466,جِيمْنَسْتِيكْ,جِيمْنَسْتِيكْ,جيمنستيك,gymnastics,N,True,False,Gymnastics,صَاحِبْتِي تِتْرَانَا جِيمْنَسْتِيكْ,صاحبتي تترانا جيمنستيك,My girlfriend does gymnastics.
1467,جيناهاشي,جِينَاهَاشِي,جيناهاشي,Isn't that what I said?  See? Told you so!,PHR,False,False,,جيناهاشي ؟ موش قتلك راهو الدنيا باش تسخن ليوم هاك توّا ترسيلك شادد كبوتك في يدّك,جيناهاشي ، موش قتلك راهو الدنيا باش تسخن ليوم هاك توا ترسيلك شادد كبوتك في يدك,See? Didn't I tell you that it's going to get hot out today. Now you're carrying your coat around.
1468,جِينِيَالُوجِي,جِينِيَالُوجِي,جينيالوجي,genealogy,N,True,False,Hé,نَقْرَا جِينِيَالُوجِي فِالْفَاكُلْتِي,نقرا جينيالوجي فالفاكلتي,I'm studying genealogy in college.
1469,جِينِيرِيكْ,جِينِيرِيكْ,جينيريك,credits (in movie),N,True,False,Générique,في آخر الجينيريك متاع المسلسل كتبو شكون المخرج,في آخر الجينيريك متاع المسلسل كتبو شكون المخرج,At the end of the television credits they name the show's director.
1471,جِيُورْ,,جيور,a prison where suspects are kept,N,False,False,,قبل ما يعديو المتهم للحبس يحطوه في الجييور حتى لين يتحاكم,قبل ما يعديو المتهم للحبس يحطوه في الجييور حتى لين يتحاكم,"Before sending him to a regular prison, they put the accused in a temporary jail until he is convicted."
1472,جْيُولُوجْيَا,جْيُولُوجْيَا,جيولوجيا,geology,N,True,False,géologie,نَقْرَا فِي كْتَاب مْتَاعْ جْيُولُوجْيَا,نقرا في كتاب متاع جيولوجيا,I'm reading a geology book.
1473,جِيُومَاتْرِي,جِيُومَاتْرِي,جيوماتري,géometry,N,True,False,Géométrique,الجيوماتري هي علم الهندسة,الجيوماتري هي علم الهندسة,Geometry is a subject pertaining to engineering.
1477,حَاط فِي قَلْبُو,,حاط في قلبو,"something deep in the heart, determination, set something as a goal",V,False,False,,حات في قلبو لازم ينجح عام السنا ياخي ما خرجش مالدار,حات في قلبو لازم ينجح عام السنا ياخي ما خرجش مالدار,"He's determined to suceed this year, so he doesn't leave the house."
1478,حَاتِمْ,,حاتم,Hatem (man's name),N,False,False,,خرجت نسهر أنا و حاتم,خرجت نسهر أنا و حاتم,Hatem and I went out to enjoy the evening.
1479,حَاجْ,,حاج,someone who's made the pilgrimage to Mecca,N,False,False,,"الشيخ سليمان راهو حاج,مشى للحج ملي هو صغير","الشيخ سليمان راهو حاج,مشى للحج ملي هو صغير",Sheik Soliman made the pilgrimage to Mecca when he was a child.
1480,حَاجْ قَاسِمْ,,حاج قاسم,stork,N,False,False,,طير الحاج قاسم تلقاه في أرياف تونس,طير الحاج قاسم تلقاه في أرياف تونس,Storks live are found in the rural parts of Tunisia.
1481,حَاجْ كْلُوفْ,,حاج كلوف,someone who always gets in others' business,N,False,False,,صارت عركة في الحومة جا واحد حاج كلوف فيعوض ما يهدي الأوضاع زاد ولّا يسخن في الجو,صارت عركة في الحومة جا واحد حاج كلوف فيعوض ما يهدي الأوضاع زاد ولا يسخن في الجو,"There was a fight in the neighborhhod; someone came to get involved, and instead of calming things down, it got worse."
1482,حَاجَة كِيمَا هَكَّا,,حاجة كيما هكا,something like that,PHR,False,False,,"نسيت اسمها الشكلاطة إلي نحبها,ظاهرلي نوتيلّا حاجة كيما هكّة مانيش مثبت","نسيت اسمها الشكلاطة إلي نحبها,ظاهرلي نوتيلا حاجة كيما هكة مانيش مثبت",I forgot the name of the chocolate I like; I think it's nutella. Something like that. I'm not sure.
1483,حَاجَاتْ وِرَاثِيَّة,,حاجات وراثية,hereditary things,N,False,False,,مرض السكري ينجم يكون حاجة وراثيّة في العائلة,مرض السكري ينجم يكون حاجة وراثية في العائلة,Diabetes can be hereditary.
1484,حَاجِبْ,,حاجب,eyebrow,N,False,False,,جا باش يشعل سيقارو ياخي حرق حاجبو,جا باش يشعل سيقارو ياخي حرق حاجبو,He was trying to light his cigarette and he burned his eyebrow.
1486,حَاجَة,,حاجة,something,N,False,False,,إجا نقلك حاجة باهية,إجا نقلك حاجة باهية,Come here so I can tell you something good.
1487,حَاجَة بَاهْيَة,,حاجة باهية,something good,PHR,False,False,,أمي مشات للسوق شراتلي حاجة باهية,أمي مشات للسوق شراتلي حاجة باهية,My mom went to the market and bought me something good.
1488,حَاجَة تِتْشَافْ بِالعِينْ,,حاجة تتشاف بالعين,something visible,PHR,False,False,,المكروبات هوما حاجات ما تتشافش بالعين,المكروبات هوما حاجات ما تتشافش بالعين,Microbes are invisible to the naked eye.
1489,حَاجَة جْدِيدَة,,حاجة جديدة,something new,PHR,False,False,,فديت من حوايجي القدم نحب نشري حاجة جديدة,فديت من حوايجي القدم نحب نشري حاجة جديدة,I'm bored with my old clothes; I want to buy something new.
1490,حَاجَة طَبِيعِيَّة,,حاجة طبيعية,something natural,PHR,False,False,,حاجة طبيعيّة كونو يبرد الطقس اليوم خاترنا في فصل الشتاء,حاجة طبيعية كونو يبرد الطقس اليوم خاترنا في فصل الشتاء,"It's natural that it's colder today, because it's winter."
1491,حَاجَة عَايْلِيَّة,,حاجة عايلية,a family affair,PHR,False,False,,إِنْتِي قَاعِدْ تِتْدَخّلْ فِي حَاجَة عَايْلِيَّة,إنتي قاعد تتدخل في حاجة عايلية,You're getting involved in a family affair.
1492,حَاجَة عَلَى جْنَبْ,,حاجة على جنب,"something secondary, to the side",PHR,False,False,,"المصروف العائلي حاجة اساسيّة و المصروف الشخصي حاجة على جنب,العائلة أهم","المصروف العائلي حاجة اساسية و المصروف الشخصي حاجة على جنب,العائلة أهم",Money to be used for the family's needs is essential.  Money to be used for personal stuff is not as important; the family is more important.
1493,حَاجَة مَا تَعْنِيهِشْ,,حاجة ما تعنيهش,something that doesn't concern someone,PHR,False,False,,الاسباب حاجة ما تعنيهش ما يهمو كان في النتيجة,الاسباب حاجة ما تعنيهش ما يهمو كان في النتيجة,He doesn't care about the causes; the only thing he's concerned with is the result.
1494,حَاجَة مَرْجُوَّة,,حاجة مرجوة,something you hope for,PHR,False,False,,الزيادة في الشهريّة حاجة مرجوّة مالخدامة الكل,الزيادة في الشهرية حاجة مرجوة مالخدامة الكل,A pay raise is something every employee hopes for.
1495,حَاجَة مْطَلّْعِينْهَا,,حاجة مطلعينها,something made up,PHR,False,False,,فمّا فرق مابين حاجة طبيعيّة و حاجة مطلعينها,فما فرق مابين حاجة طبيعية و حاجة مطلعينها,There's a difference between something natural and something made up.
1496,حَاجَة مْعَاوْدَة,,حاجة معاودة,"something repeated, mass-produced",PHR,False,False,,فمّا فرق بين سلعة أوريجينال و سلعة معاودة,فما فرق بين سلعة أوريجينال و سلعة معاودة,There's a difference between a one-of-a-kind item and a mass-produced item.
1497,حَاجَة مَلْمُوسَة,,حاجة ملموسة,something tangible,PHR,False,False,,إنك تتعب باش تنجح هذي حاجة ملموسة و واقعيّة موش تستنى النجاح يجي وحدو,إنك تتعب باش تنجح هذي حاجة ملموسة و واقعية موش تستنى النجاح يجي وحدو,The fact that you need to use energy in order to succeed is tangible and realistic. You can't just wait for success to come on its own.
1498,حَاجَة مُوشْ مُتْوَقّْعَة,,حاجة موش متوقعة,something unexpected,PHR,False,False,,الأزمة الماليّة ما كانتش متوقعة بالكل,الأزمة المالية ما كانتش متوقعة بالكل,The financial crisis wasn't expected at all.
